,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
2874,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,RA,1.0,0.9264785377906193,13.72518587
2886,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,RA,0.8347050987731784,0.7158427519578168,13.72518587
2898,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,RA,0.8984653834866381,0.5561873177007027,13.72518587
2922,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,RA,1.0,0.7148670257438995,13.65800921
2934,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,RA,0.8054804949681451,0.6495616779747688,13.65800921
2946,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,RA,0.8892302448756577,0.7190242565254918,13.65800921
2970,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,RA,0.8960249510179927,0.9319586182560229,12.87921191
2982,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,RA,0.7855774930324411,0.7969307669732761,12.87921691
2994,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,RA,0.8651600275073517,0.8054804949681451,12.87921194
3030,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,RA,0.8726570920065974,0.8044204353205106,11.46990899
3042,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,RA,0.9237507148336976,1.0,11.46990899
3054,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,RA,0.8892302448756577,0.8809017331649173,11.46990899
3066,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,RA,0.7846125524146785,0.81004612605476,12.87921191
3078,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,RA,0.8143046618229481,0.8571428571428572,12.87921191
3090,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,RA,0.889903623487364,0.8199099324437007,12.87921191
3126,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,RA,0.8081411561826762,0.5569209795026309,13.72843321
3138,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,RA,1.0,0.7247590587184098,13.72843229
3150,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,RA,0.8394596752330161,0.5370899501137243,13.72843229
3162,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,RA,0.8237731557874397,1.0,11.99998533
3174,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,RA,0.8719631200671041,0.8790283242181732,11.99998533
3186,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,RA,0.91695452014626,0.8927887465162205,11.99998533
3222,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,RA,0.8143046618229481,0.5818789949964547,13.72513308
3234,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,RA,1.0,0.8514778685534988,13.72513308
3246,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,RA,0.8564083682764524,0.5763407271318384,13.72513474
3258,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,RA,0.8686935671402775,0.818928507914963,12.46255999
3270,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,RA,0.7857142857142857,0.7982633538035178,12.46255999
3282,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,RA,0.8005689911956335,0.8954583253021366,12.46255999
3318,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,RA,1.0,0.7082700170042109,13.22660078
3330,2_5cae09506d573900175d4727_estate_congruent,5cae09506d573900175d4727,experiment_2,1,estate,RA,0.91695452014626,0.7268208176459234,13.22660078
3342,2_5cae09506d573900175d4727_finance_implausible,5cae09506d573900175d4727,experiment_2,3,finance,RA,0.7904709112691266,0.7787511605656451,13.22660078
3366,2_5cb304b63742a400153b756d_crime_implausible,5cb304b63742a400153b756d,experiment_2,3,crime,RA,0.8521557458090854,0.8585786437626906,7.867668786
3378,2_5cb304b63742a400153b756d_estate_incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,RA,0.8892302448756577,0.9188892894346188,7.867668786
3390,2_5cb304b63742a400153b756d_finance_congruent,5cb304b63742a400153b756d,experiment_2,1,finance,RA,1.0,1.0,7.867668786
3414,2_5ccc758ab11510001584a1af_crime_implausible,5ccc758ab11510001584a1af,experiment_2,3,crime,RA,0.8756459991565483,0.9237507148336976,11.04518623
3426,2_5ccc758ab11510001584a1af_estate_congruent,5ccc758ab11510001584a1af,experiment_2,1,estate,RA,1.0,0.9237507148336976,10.87932663
3438,2_5ccc758ab11510001584a1af_finance_incongruent,5ccc758ab11510001584a1af,experiment_2,2,finance,RA,1.0,0.7334699803659629,10.87932663
3462,2_5cd98287b0c5ec0001e0965a_crime_incongruent,5cd98287b0c5ec0001e0965a,experiment_2,2,crime,RA,0.8651600275073517,0.6432469659936622,10.87921253
3474,2_5cd98287b0c5ec0001e0965a_estate_congruent,5cd98287b0c5ec0001e0965a,experiment_2,1,estate,RA,1.0,0.8817375208021835,10.87921253
3486,2_5cd98287b0c5ec0001e0965a_finance_implausible,5cd98287b0c5ec0001e0965a,experiment_2,3,finance,RA,0.8110177634953863,0.7909166506042733,10.87921253
3498,2_5cdeaeb3557fbd00018a2c59_crime_incongruent,5cdeaeb3557fbd00018a2c59,experiment_2,2,crime,RA,0.8024540806700821,0.8521557458090854,8.7251868
