,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
2868,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,TA,0.772570586926329,0.7675047225123615,12.62278771
2880,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,TA,0.7137008328430658,0.6388424407426925,13.00403322
2892,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,TA,0.7219360008399758,0.6206065446803359,12.76501984
2916,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,TA,0.5654759053732592,0.6507848521152109,13.93156857
2928,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,TA,0.4647556758951231,0.4538813187272498,13.93156857
2940,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,TA,0.5638990379742845,0.6026402928804868,13.93156857
2964,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,TA,0.9264785377906193,0.8333333333333334,11.88789309
2976,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,TA,0.8143046618229481,0.8241368854718353,12.13793379
2988,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,TA,0.889903623487364,0.8960249510179927,11.88789309
3024,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,TA,0.8726570920065974,0.8044204353205106,12.32563053
3036,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,TA,0.8921672267965616,0.8634952734420129,12.46496259
3048,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,TA,0.8643353105061596,0.8541350085021054,12.36015901
3060,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,TA,0.7411365045466037,0.8756459991565483,10.79769361
3072,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,TA,0.7994261107285615,0.9285714285714286,11.1843935
3084,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,TA,0.8651600275073517,0.8726570920065974,10.90303647
3120,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,TA,0.6966445321453714,0.5638990379742845,13.93156857
3132,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,TA,0.5224330670590808,0.5394338135281617,13.93156857
3144,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,TA,0.5347099341692059,0.4777670321329065,13.93156857
3156,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,TA,0.9211889593760899,0.8639172365120457,9.509775011
3168,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,TA,0.8521557458090854,0.9012270403350411,9.509775011
3180,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,TA,0.83390904029252,0.9241901956421097,9.509775011
3216,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,TA,0.8143046618229481,0.5818789949964547,13.45753723
3228,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,TA,1.0,0.8514778685534988,13.42241691
3240,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,TA,0.8564083682764524,0.5614709903464854,13.42241691
3252,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,TA,0.8143046618229481,0.9260778729045427,9.508842355
3264,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,TA,0.8110177634953863,0.8295014151323816,9.508842355
3276,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,TA,0.7616343526886019,0.8719631200671041,9.508842355
3312,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,TA,0.8093074821508816,0.6631392315733924,12.87921191
3324,2_5cae09506d573900175d4727_estate_congruent,5cae09506d573900175d4727,experiment_2,1,estate,TA,0.8825559560970593,0.8068331476784361,12.87921191
3336,2_5cae09506d573900175d4727_finance_implausible,5cae09506d573900175d4727,experiment_2,3,finance,TA,0.7580566484363465,0.7103172702488394,12.87921191
3360,2_5cb304b63742a400153b756d_crime_implausible,5cb304b63742a400153b756d,experiment_2,3,crime,TA,0.8521557458090854,0.8585786437626906,9.507682411
3372,2_5cb304b63742a400153b756d_estate_incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,TA,0.8248576389739852,0.8852921330647191,9.509906359
3384,2_5cb304b63742a400153b756d_finance_congruent,5cb304b63742a400153b756d,experiment_2,1,finance,TA,0.9163757989992909,0.9163757989992909,9.507859416
3408,2_5ccc758ab11510001584a1af_crime_implausible,5ccc758ab11510001584a1af,experiment_2,3,crime,TA,0.81004612605476,0.8679323640511565,10.69873617
3420,2_5ccc758ab11510001584a1af_estate_congruent,5ccc758ab11510001584a1af,experiment_2,1,estate,TA,0.8634952734420129,0.8921672267965616,10.69873617
3432,2_5ccc758ab11510001584a1af_finance_incongruent,5ccc758ab11510001584a1af,experiment_2,2,finance,TA,0.8483803912842194,0.7782336187136282,11.09866192
3456,2_5cd98287b0c5ec0001e0965a_crime_incongruent,5cd98287b0c5ec0001e0965a,experiment_2,2,crime,TA,0.7798072469747279,0.6348516283298893,11.72626014
3468,2_5cd98287b0c5ec0001e0965a_estate_congruent,5cd98287b0c5ec0001e0965a,experiment_2,1,estate,TA,0.9163757989992909,0.9163757989992909,10.62360592
3480,2_5cd98287b0c5ec0001e0965a_finance_implausible,5cd98287b0c5ec0001e0965a,experiment_2,3,finance,TA,0.7424606231811437,0.8521557458090854,10.90586419
3492,2_5cdeaeb3557fbd00018a2c59_crime_incongruent,5cdeaeb3557fbd00018a2c59,experiment_2,2,crime,TA,0.8790283242181732,0.9260778729045427,6.929709227
