,utid,participant,experiment,difficulty,scenario,accuracy
8686,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,0.7618802172690495
8722,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,0.886039423540362
8746,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,0.8514778685534988
8770,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,0.8398718461949128
8794,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,0.8492443277111181
8818,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,0.9129611720221511
8842,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,0.9163757989992909
8866,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,0.91695452014626
8890,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,0.8735088935932649
8914,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,0.757464374963667
8938,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,0.7883963152424205
8962,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,0.8651600275073517
8986,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,0.8651600275073517
9010,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,0.9129611720221511
9034,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,0.8561610095543848
9058,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,0.8852921330647191
9082,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,0.792768763753932
9106,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,0.8443002111676954
9130,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,0.8817375208021835
9154,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,0.8927887465162205
9178,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,0.8561610095543848
9202,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,0.8817375208021835
9226,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,0.8561610095543848
9250,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,0.7982633538035178
9274,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,0.8778305556436947
9298,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,0.6258342613226059
9322,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,0.8315696157866962
9346,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,0.8651600275073517
9370,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,0.8724846573873324
9394,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,0.7855774930324411
9418,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,0.8643353105061596
9442,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,0.8561610095543848
9466,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,0.850373599583855
9490,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,0.8551586351244197
9514,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,0.8551586351244197
9538,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,0.8613249509436928
9562,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,0.9163757989992909
9586,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,0.7548280407194038
9610,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,0.8521557458090854
9634,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,0.8026144915120693
9658,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,0.8327515979985818
9682,3_5d70ec2138ac7e00012f817b_crime_incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,0.8356010126946427
9706,3_5d70ec2138ac7e00012f817b_finance_congruent,5d70ec2138ac7e00012f817b,experiment_3,1,finance,0.7855774930324411
9730,3_5dafea4de40355001651fa2f_crime_incongruent,5dafea4de40355001651fa2f,experiment_3,2,crime,0.9024099927051467
9754,3_5dafea4de40355001651fa2f_finance_congruent,5dafea4de40355001651fa2f,experiment_3,1,finance,0.8438262381113939
9778,3_5dde680c40460edc4a5dc1a2_crime_congruent,5dde680c40460edc4a5dc1a2,experiment_3,1,crime,0.7855774930324411
9802,3_5dde680c40460edc4a5dc1a2_finance_incongruent,5dde680c40460edc4a5dc1a2,experiment_3,2,finance,0.7940285397822251
9826,3_5de2b59d8fde1c2eb47f92d8_crime_congruent,5de2b59d8fde1c2eb47f92d8,experiment_3,1,crime,0.9129611720221511
9850,3_5de2b59d8fde1c2eb47f92d8_finance_incongruent,5de2b59d8fde1c2eb47f92d8,experiment_3,2,finance,0.8825559560970593
9874,3_5e1b65eeb287dc38d94b694e_crime_incongruent,5e1b65eeb287dc38d94b694e,experiment_3,2,crime,0.8809017331649173
9898,3_5e1b65eeb287dc38d94b694e_finance_congruent,5e1b65eeb287dc38d94b694e,experiment_3,1,finance,0.850373599583855
9922,3_5e31e6491faa251bf58151ce_crime_congruent,5e31e6491faa251bf58151ce,experiment_3,1,crime,0.8726570920065974
9946,3_5e31e6491faa251bf58151ce_finance_incongruent,5e31e6491faa251bf58151ce,experiment_3,2,finance,0.8514778685534988
9970,3_5e3b5fa9255e7a37bc841135_crime_congruent,5e3b5fa9255e7a37bc841135,experiment_3,1,crime,0.9163757989992909
9994,3_5e3b5fa9255e7a37bc841135_finance_incongruent,5e3b5fa9255e7a37bc841135,experiment_3,2,finance,0.886039423540362
10018,3_5e7d3b58d638273c7f823c7b_crime_incongruent,5e7d3b58d638273c7f823c7b,experiment_3,2,crime,0.7635668781282698
10042,3_5e7d3b58d638273c7f823c7b_finance_congruent,5e7d3b58d638273c7f823c7b,experiment_3,1,finance,0.8651600275073517
10066,3_5e822d17f956a29530ccc2f8_crime_incongruent,5e822d17f956a29530ccc2f8,experiment_3,2,crime,0.8643353105061596
10090,3_5e822d17f956a29530ccc2f8_finance_congruent,5e822d17f956a29530ccc2f8,experiment_3,1,finance,0.8604273684402294
10114,3_5e9fdd5effe6a51855448d1b_crime_congruent,5e9fdd5effe6a51855448d1b,experiment_3,1,crime,0.8492443277111181
10138,3_5e9fdd5effe6a51855448d1b_finance_incongruent,5e9fdd5effe6a51855448d1b,experiment_3,2,finance,0.8483803912842194
10162,3_5ec3b9e83f187802a6aa041e_crime_congruent,5ec3b9e83f187802a6aa041e,experiment_3,1,crime,0.772078847080724
10186,3_5ec3b9e83f187802a6aa041e_finance_incongruent,5ec3b9e83f187802a6aa041e,experiment_3,2,finance,0.8561610095543848
10210,3_5eea0a01da0cfc0a744df4d9_crime_congruent,5eea0a01da0cfc0a744df4d9,experiment_3,1,crime,0.8483803912842194
10234,3_5eea0a01da0cfc0a744df4d9_finance_incongruent,5eea0a01da0cfc0a744df4d9,experiment_3,2,finance,1.0
10258,3_5ef601b056fe3607b3410b33_crime_congruent,5ef601b056fe3607b3410b33,experiment_3,1,crime,0.838835407194924
10282,3_5ef601b056fe3607b3410b33_finance_incongruent,5ef601b056fe3607b3410b33,experiment_3,2,finance,0.8561610095543848
10306,3_5eff4206a352be49f1aef4cc_crime_congruent,5eff4206a352be49f1aef4cc,experiment_3,1,crime,0.8483803912842194
10330,3_5eff4206a352be49f1aef4cc_finance_incongruent,5eff4206a352be49f1aef4cc,experiment_3,2,finance,1.0
10354,3_5f0559d1bc410b85707c58a3_crime_congruent,5f0559d1bc410b85707c58a3,experiment_3,1,crime,0.8825559560970593
10378,3_5f0559d1bc410b85707c58a3_finance_incongruent,5f0559d1bc410b85707c58a3,experiment_3,2,finance,0.9071523309114741
10402,3_5f108dea719866356702d26f_finance_congruent,5f108dea719866356702d26f,experiment_3,1,finance,0.8394596752330161
10438,3_5f120176fbc66510873bcbf8_crime_congruent,5f120176fbc66510873bcbf8,experiment_3,1,crime,0.8756459991565483
10462,3_5f120176fbc66510873bcbf8_finance_incongruent,5f120176fbc66510873bcbf8,experiment_3,2,finance,0.8561610095543848
10486,3_5f1b2fe23bcef80c38d2a362_crime_incongruent,5f1b2fe23bcef80c38d2a362,experiment_3,2,crime,0.7909166506042733
10510,3_5f1b2fe23bcef80c38d2a362_finance_congruent,5f1b2fe23bcef80c38d2a362,experiment_3,1,finance,0.838835407194924
10534,3_5f2448855226b0000a8129e1_crime_congruent,5f2448855226b0000a8129e1,experiment_3,1,crime,0.7940285397822251
10558,3_5f2448855226b0000a8129e1_finance_incongruent,5f2448855226b0000a8129e1,experiment_3,2,finance,0.8825559560970593
10582,3_5f2c226f8cea75078acb6377_crime_incongruent,5f2c226f8cea75078acb6377,experiment_3,2,crime,0.8483803912842194
10606,3_5f2c226f8cea75078acb6377_finance_congruent,5f2c226f8cea75078acb6377,experiment_3,1,finance,0.8604273684402294
