,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy
2871,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,CA,0.8483803912842194,0.8054804949681451
2883,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,CA,0.8719631200671041,0.7386133489130333
2895,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,CA,0.7969307669732761,0.5394338135281617
2919,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,CA,0.9163757989992909,0.7294991095997703
2931,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,CA,0.8356010126946427,0.5811460917083044
2943,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,CA,0.5638990379742845,0.6495616779747688
2967,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,CA,0.8726570920065974,0.8333333333333334
2979,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,CA,0.8483803912842194,0.8984653834866381
2991,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,CA,0.7303200550147032,0.7453141840131947
3027,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,CA,0.8529570755812385,0.818928507914963
3039,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,CA,0.8921672267965616,0.9211889593760899
3051,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,CA,0.8892302448756577,0.8315696157866962
3063,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,CA,0.7846125524146785,0.7618802172690495
3075,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,CA,0.8686935671402775,0.7857142857142857
3087,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,CA,0.8651600275073517,0.8726570920065974
3123,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,CA,0.8892302448756577,0.600613968128594
3135,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,CA,1.0,0.7247590587184098
3147,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,CA,0.7729616954067501,0.589109298193341
3159,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,CA,0.8423779187521798,0.9319586182560229
3171,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,CA,0.8521557458090854,0.9012270403350411
3183,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,CA,0.91695452014626,0.8927887465162205
3219,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,CA,0.8483803912842194,0.5989524207289604
3231,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,CA,1.0,0.8514778685534988
3243,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,CA,0.8756459991565483,0.526334533284329
3255,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,CA,0.8927887465162205,0.8719631200671041
3267,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,CA,0.8571428571428572,0.8475014296673953
3279,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,CA,0.7616343526886019,0.8719631200671041
3315,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,CA,0.8443002111676954,0.7082700170042109
3327,2_5cae09506d573900175d4727_estate_congruent,5cae09506d573900175d4727,experiment_2,1,estate,CA,0.91695452014626,0.7268208176459234
3339,2_5cae09506d573900175d4727_finance_implausible,5cae09506d573900175d4727,experiment_2,3,finance,CA,0.7120298118410646,0.8551586351244197
3363,2_5cb304b63742a400153b756d_crime_implausible,5cb304b63742a400153b756d,experiment_2,3,crime,CA,0.8347050987731784,0.8845299461620748
3375,2_5cb304b63742a400153b756d_estate_incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,CA,0.7650218650036128,0.8013201464402434
