,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8687,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,SA,0.886039423540362,0.91695452014626,7.867668747
8711,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,SA,0.9142507074287456,0.8735088935932649,7.867668747
8735,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,SA,0.803883864861816,0.886039423540362,10.22660402
8759,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,SA,0.8694417580332267,0.889903623487364,10.22660402
8783,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,SA,0.8259223440443022,0.8259223440443022,12.65464259
8807,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,SA,0.8551586351244197,0.6518446880886043,12.46985486
8831,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,SA,0.8825559560970593,0.6626261151016841,10.69591093
8855,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,SA,0.9105572809000084,0.9105572809000084,11.16527696
8879,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,SA,0.757464374963667,0.7137008328430658,13.6877454
8903,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,SA,0.7883963152424205,0.7635668781282698,13.6877454
8927,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,SA,0.8651600275073517,0.827226314883728,11.99997708
8951,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,SA,0.889903623487364,0.8694417580332267,11.99997708
8975,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,SA,0.7388835160664533,0.6848956043755594,10.2265449
8999,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,SA,0.8143046618229481,0.7883963152424205,10.2265449
9023,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,SA,0.7435054119787115,0.6590028302647633,9.312467606
9047,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,SA,0.6585846852030299,0.5782013389904517,8.725186881
9071,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,SA,0.8443002111676954,0.8521557458090854,12.46985486
9095,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,SA,0.8551586351244197,0.7268208176459234,12.46985486
9119,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,SA,0.7855774930324411,0.7616343526886019,10.22660402
9143,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,SA,0.91695452014626,0.8398718461949128,10.22660402
9167,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,SA,0.8551586351244197,0.8116891057113227,11.99997708
9191,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,SA,0.8825559560970593,0.8377785788692375,11.99997708
9215,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,SA,0.7358647281023128,0.7268208176459234,10.22660402
9239,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,SA,0.8778305556436947,0.7705842661294382,10.22660402
9263,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,SA,0.8585786437626906,0.6656330724547883,12.87921251
9287,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,SA,0.8541350085021054,0.6372618749449941,12.87921251
9311,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,SA,0.7940285397822251,0.6750537550427744,13.6877454
9335,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,SA,0.8724846573873324,0.7309862065755148,13.6877454
9359,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,SA,0.7063898902426482,0.6037970921534692,9.509583422
9383,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,SA,0.8433479100024085,0.785401231180262,9.509583422
9407,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,SA,0.8825559560970593,0.913613157441864,7.867668747
9431,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,SA,0.8778305556436947,0.8438262381113939,7.867668747
9455,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,SA,0.8327515979985818,0.8817375208021835,10.87944433
9479,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,SA,0.8551586351244197,0.8026144915120693,10.87944433
9503,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,SA,0.8209712814901418,0.8825559560970593,9.418837362
9527,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,SA,0.8551586351244197,0.7735445931710808,9.418837362
9551,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,SA,0.7137008328430658,0.8790283242181732,12.8792126
9575,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,SA,0.8521557458090854,0.43702585253816273,12.8792126
9599,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,SA,0.8026144915120693,0.8551586351244197,12.46985486
9623,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,SA,0.8327515979985818,0.850373599583855,12.46985486
9647,3_5d70ec2138ac7e00012f817b_crime_incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,SA,0.8199099324437007,0.7234087271072401,9.077196033
9671,3_5d70ec2138ac7e00012f817b_finance_congruent,5d70ec2138ac7e00012f817b,experiment_3,1,finance,SA,0.7063898902426482,0.68637497590641,9.077196033
9695,3_5dafea4de40355001651fa2f_crime_incongruent,5dafea4de40355001651fa2f,experiment_3,2,crime,SA,0.9024099927051467,0.8438262381113939,10.87921259
9719,3_5dafea4de40355001651fa2f_finance_congruent,5dafea4de40355001651fa2f,experiment_3,1,finance,SA,0.8438262381113939,0.8438262381113939,10.87921259
9743,3_5dde680c40460edc4a5dc1a2_crime_congruent,5dde680c40460edc4a5dc1a2,experiment_3,1,crime,SA,0.7994261107285615,0.7471097305705634,9.509583422
9767,3_5dde680c40460edc4a5dc1a2_finance_incongruent,5dde680c40460edc4a5dc1a2,experiment_3,2,finance,SA,0.7418011102528389,0.838835407194924,9.509583422
9791,3_5de2b59d8fde1c2eb47f92d8_crime_congruent,5de2b59d8fde1c2eb47f92d8,experiment_3,1,crime,SA,0.8259223440443022,0.8259223440443022,9.509775124
9815,3_5de2b59d8fde1c2eb47f92d8_finance_incongruent,5de2b59d8fde1c2eb47f92d8,experiment_3,2,finance,SA,0.91695452014626,0.9098330365332568,9.509775124
9839,3_5e1b65eeb287dc38d94b694e_crime_incongruent,5e1b65eeb287dc38d94b694e,experiment_3,2,crime,SA,0.8541350085021054,0.8377785788692375,12.46985486
9863,3_5e1b65eeb287dc38d94b694e_finance_congruent,5e1b65eeb287dc38d94b694e,experiment_3,1,finance,SA,0.8778305556436947,0.8438262381113939,12.70338347
