,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8686,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,RA,0.838835407194924,0.8143046618229481,11.99997708
8710,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,RA,0.7156017705027395,0.717157287525381,11.99997708
8734,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,RA,0.8398718461949128,0.886039423540362,9.509583422
8758,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,RA,0.7388835160664533,0.7418011102528389,10.03791932
8782,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,RA,1.0,1.0,10.2265449
8806,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,RA,0.9163757989992909,0.6984886554222364,10.2265449
8830,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,RA,0.8561610095543848,0.7009500136951298,10.2265449
8854,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,RA,0.7809109769979335,0.7809109769979335,10.2265449
8878,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,RA,0.8787321874818335,0.6777809182993317,13.68735044
8902,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,RA,0.7883963152424205,0.7635668781282698,13.68735044
8926,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,RA,0.8651600275073517,0.8778305556436947,5.900091051
8950,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,RA,0.8651600275073517,0.8492443277111181,5.900091051
8974,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,RA,0.8769085090206673,0.8116891057113227,8.725246316
8998,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,RA,0.7802823127989794,0.7883963152424205,8.725246316
9022,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,RA,0.8852921330647191,0.8132281580905929,12.46985486
9046,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,RA,0.8433479100024085,0.8433479100024085,12.46985486
9070,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,RA,0.8259223440443022,0.8044204353205106,9.509774944
9094,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,RA,0.9163757989992909,0.7268208176459234,10.03809578
9118,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,RA,0.8483803912842194,0.8153627635310009,10.22660402
9142,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,RA,0.7802823127989794,0.7735445931710808,10.22660402
