,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
2879,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,TA,0.8143046618229481,0.8054804949681451,13.22660409
2891,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,TA,0.7334699803659629,0.6388424407426925,13.22660409
2903,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,TA,0.633911733926501,0.6107505279192385,13.34220564
2927,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,TA,0.7787511605656451,0.8438262381113939,10.87921259
2939,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,TA,0.6968632455608659,0.8675467642934956,10.87921259
2951,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,TA,0.7402218974265015,0.8675467642934956,10.87921259
2975,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,TA,0.7794356133718576,0.8639172365120457,10.2265449
2987,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,TA,0.8686935671402775,0.9282041841382261,10.2265449
2999,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,TA,0.889903623487364,0.8199099324437007,10.2265449
3035,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,TA,0.7675047225123615,0.818928507914963,12.46985486
3047,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,TA,0.8132281580905929,0.8634952734420129,12.46985486
3059,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,TA,0.8081411561826762,0.7336881793543463,12.46985486
3071,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,TA,0.81004612605476,0.7618802172690495,12.46985486
3083,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,TA,0.6967607825684387,0.7979694910895578,12.46985486
3095,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,TA,0.7664503167515431,0.8356010126946427,12.46985486
3131,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,TA,0.7286706210123193,0.6676907346269733,13.22660402
3143,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,TA,0.8675467642934956,0.8259223440443022,13.22660402
3155,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,TA,0.7411365045466037,0.6307255270620018,13.22660402
3167,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,TA,0.8634952734420129,0.8639172365120457,11.99997708
3179,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,TA,0.8347050987731784,0.8790283242181732,11.99997708
3191,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,TA,0.83390904029252,0.7994261107285615,11.99997708
3227,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,TA,0.7266638632047331,0.6077677297236319,12.46985486
3239,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,TA,0.8438262381113939,0.8285014148574912,12.46985486
3251,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,TA,0.6870492940894734,0.5,12.46985486
3263,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,TA,0.8686935671402775,0.818928507914963,12.82701986
3275,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,TA,0.7142857142857143,0.6950028593347907,12.82701986
3287,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,TA,0.6984886554222364,0.8044204353205106,13.00961908
