,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
17232,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,RA,0.6984886554222364,0.7508635604387801,4.76138666
17240,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,RA,0.7731286967567425,0.8211145618000169,4.76138666
17248,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,RA,0.700427655242361,0.7208547368804588,1.988140224
17256,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,RA,0.7179619625911169,0.7418011102528389,1.988140224
17264,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,RA,0.8492443277111181,0.8492443277111181,11.41872672
17272,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,RA,0.7787511605656451,0.6984886554222364,11.41872672
17280,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,RA,0.7123220191087696,0.5967610807272441,13.93156857
17288,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,RA,0.8,0.8,13.93156857
17296,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,RA,0.7288369277266797,0.5152601959858997,1.72e-14
17304,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,RA,0.7714418980430813,0.6139063287473279,1.72e-14
17312,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,RA,0.62664502227245,0.7007471991677101,7.852154191
17320,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,RA,0.7664503167515431,0.7616343526886019,7.852154191
17328,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,RA,0.7697169067640808,0.7937157507482413,8.725186759
17336,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,RA,0.7245693027901261,0.7556611112873896,8.725245494
17344,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,RA,0.7309862065755148,0.6676370714428732,6.92733512
17352,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,RA,0.7784604897513154,0.7523112976909649,6.92733512
17360,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,RA,0.6107505279192385,0.615889360201312,
17368,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,RA,0.7226499018873854,0.7268208176459234,4.761386316
17376,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,RA,0.7994261107285615,0.75,7.867668665
17384,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,RA,0.6678180805850401,0.6899131635269788,7.867668665
17392,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,RA,0.7491273969978728,0.7473544236800442,8.887745361
17400,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,RA,0.7651119121941186,0.8377785788692375,8.887745361
17408,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,RA,0.7147012989212722,0.7556611112873896,11.91841083
17416,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,RA,0.7883963152424205,0.8675467642934956,11.63935914
17424,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,RA,0.8,0.6947661521663201,12.50149595
17432,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,RA,0.6963578066864164,0.6372618749449941,12.5008811
