,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
15297,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,1,0.9241901956421097,1.0,5.035131844
15301,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,1,0.68637497590641,1.0,5.035351626
15305,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,1,0.6133676991216666,0.7388835160664533,6.534964307
15313,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,1,0.6871068906126281,0.8196660730665135,12.51546477
15317,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,1,0.5588712267437154,0.752202686108324,12.51546477
15321,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,1,0.9216739550012043,0.6755571577384749,12.42481917
15329,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,1,0.9264785377906193,0.8333333333333334,10.87921431
15333,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,1,0.8927887465162205,0.8564083682764524,10.87921431
15337,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,1,0.889903623487364,0.8960249510179927,10.87921431
15349,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,1,0.8960249510179927,0.818928507914963,10.87921356
15353,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,1,0.8921672267965616,0.9211889593760899,10.87921437
15357,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,1,0.8643353105061596,0.8541350085021054,10.87921253
15361,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,1,0.7411365045466037,0.8756459991565483,10.22659645
15365,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,1,0.7994261107285615,0.9285714285714286,10.22659646
15369,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,1,0.8651600275073517,0.8726570920065974,10.22659913
15381,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,1,0.7069307751534678,0.6326182841330094,13.24741409
15385,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,1,0.9063414188418306,0.7697169067640808,13.24741409
15389,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,1,0.6789193504660322,0.6052289830241386,13.32727049
15393,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,1,1.0,0.8478548451374539,10.45370557
15397,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,1,0.8521557458090854,0.9012270403350411,10.2263716
15401,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,1,0.83390904029252,0.9241901956421097,10.2263716
15413,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,1,0.9241901956421097,0.5419713875856556,12.87934486
15417,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,1,1.0,0.8514778685534988,12.87934456
15421,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,1,0.8756459991565483,0.5129892329942929,12.87934456
15425,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,1,0.8483803912842194,0.9260778729045427,6.981527738
15429,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,1,0.8571428571428572,0.8475014296673953,6.987787732
15433,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,1,0.8005689911956335,0.8954583253021366,6.994352301
15445,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,1,0.8651600275073517,0.6963578066864164,12.10353801
15449,2_5cae09506d573900175d4727_estate_congruent,5cae09506d573900175d4727,experiment_2,1,estate,1,0.8825559560970593,0.8068331476784361,12.10353801
15453,2_5cae09506d573900175d4727_finance_implausible,5cae09506d573900175d4727,experiment_2,3,finance,1,0.7580566484363465,0.7103172702488394,12.10353801
15461,2_5cb304b63742a400153b756d_crime_implausible,5cb304b63742a400153b756d,experiment_2,3,crime,1,0.8347050987731784,0.8845299461620748,8.7259505
15465,2_5cb304b63742a400153b756d_estate_incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,1,0.8643353105061596,0.8852921330647191,8.725950468
15469,2_5cb304b63742a400153b756d_finance_congruent,5cb304b63742a400153b756d,experiment_2,1,finance,1,0.9163757989992909,0.9163757989992909,8.728124906
15477,2_5ccc758ab11510001584a1af_crime_implausible,5ccc758ab11510001584a1af,experiment_2,3,crime,1,0.8241368854718353,0.8921672267965616,10.226604
15481,2_5ccc758ab11510001584a1af_estate_congruent,5ccc758ab11510001584a1af,experiment_2,1,estate,1,0.8634952734420129,0.8921672267965616,10.226604
15485,2_5ccc758ab11510001584a1af_finance_incongruent,5ccc758ab11510001584a1af,experiment_2,2,finance,1,0.8483803912842194,0.7782336187136282,10.226604
15493,2_5cd98287b0c5ec0001e0965a_crime_incongruent,5cd98287b0c5ec0001e0965a,experiment_2,2,crime,1,0.6606601774746808,0.8259223440443022,9.090545355
15497,2_5cd98287b0c5ec0001e0965a_estate_congruent,5cd98287b0c5ec0001e0965a,experiment_2,1,estate,1,0.9163757989992909,0.9163757989992909,8.406131831
15501,2_5cd98287b0c5ec0001e0965a_finance_implausible,5cd98287b0c5ec0001e0965a,experiment_2,3,finance,1,0.8110177634953863,0.818928507914963,8.406131838
